Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
SRR35320081_1	(30, 1.0)	(40, 0.0)	(50, 0.0)	(60, 0.0)	(70, 0.0)	(80, 0.0)	(90, 1.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 0.0)	(140, 1.0)	(150, 0.0)	(160, 0.0)	(170, 0.0)	(180, 1.0)	(190, 0.0)	(200, 1.0)	(210, 0.0)	(220, 0.0)	(230, 0.0)	(240, 0.0)	(250, 1.0)	(260, 2.0)	(270, 0.0)	(280, 2.0)	(290, 2473.0)	(300, 32020.0)																						
SRR35320081_2	(30, 1.0)	(40, 0.0)	(50, 0.0)	(60, 0.0)	(70, 0.0)	(80, 0.0)	(90, 1.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 0.0)	(140, 1.0)	(150, 0.0)	(160, 0.0)	(170, 0.0)	(180, 1.0)	(190, 0.0)	(200, 1.0)	(210, 2.0)	(220, 53.0)	(230, 2.0)	(240, 1.0)	(250, 1.0)	(260, 1.0)	(270, 0.0)	(280, 20.0)	(290, 168.0)	(300, 34250.0)																						
SRR35320082_1	(30, 1.0)	(40, 0.0)	(50, 0.0)	(60, 0.0)	(70, 0.0)	(80, 0.0)	(90, 0.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 0.0)	(140, 0.0)	(150, 0.0)	(160, 0.0)	(170, 0.0)	(180, 1.0)	(190, 0.0)	(200, 0.0)	(210, 0.0)	(220, 4.0)	(230, 0.0)	(240, 1.0)	(250, 0.0)	(260, 0.0)	(270, 0.0)	(280, 12.0)	(290, 539.0)	(300, 39143.0)																						
SRR35320082_2	(30, 1.0)	(40, 0.0)	(50, 0.0)	(60, 0.0)	(70, 0.0)	(80, 0.0)	(90, 0.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 0.0)	(140, 0.0)	(150, 0.0)	(160, 2.0)	(170, 0.0)	(180, 1.0)	(190, 0.0)	(200, 0.0)	(210, 3.0)	(220, 81.0)	(230, 3.0)	(240, 3.0)	(250, 5.0)	(260, 1.0)	(270, 1.0)	(280, 38.0)	(290, 174.0)	(300, 39388.0)																						
SRR35320083_2	(30, 1.0)	(40, 1.0)	(50, 0.0)	(60, 0.0)	(70, 0.0)	(80, 0.0)	(90, 0.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 1.0)	(140, 5.0)	(150, 0.0)	(160, 3.0)	(170, 0.0)	(180, 0.0)	(190, 2.0)	(200, 0.0)	(210, 1.0)	(220, 94.0)	(230, 6.0)	(240, 1.0)	(250, 2.0)	(260, 3.0)	(270, 1.0)	(280, 44.0)	(290, 395.0)	(300, 50314.0)																						
SRR35320084_1	(30, 2.0)	(40, 0.0)	(50, 0.0)	(60, 0.0)	(70, 0.0)	(80, 1.0)	(90, 0.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 0.0)	(140, 0.0)	(150, 0.0)	(160, 5.0)	(170, 0.0)	(180, 0.0)	(190, 0.0)	(200, 0.0)	(210, 0.0)	(220, 2.0)	(230, 0.0)	(240, 0.0)	(250, 0.0)	(260, 0.0)	(270, 0.0)	(280, 1.0)	(290, 4566.0)	(300, 47747.0)																						
SRR35320084_2	(30, 2.0)	(40, 0.0)	(50, 0.0)	(60, 0.0)	(70, 1.0)	(80, 1.0)	(90, 0.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 0.0)	(140, 0.0)	(150, 0.0)	(160, 5.0)	(170, 0.0)	(180, 0.0)	(190, 0.0)	(200, 0.0)	(210, 1.0)	(220, 89.0)	(230, 1.0)	(240, 5.0)	(250, 1.0)	(260, 1.0)	(270, 0.0)	(280, 26.0)	(290, 324.0)	(300, 51867.0)																						
SRR35320085_1	(90, 1.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 125.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 11.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 1.0)	(230, 1.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 1.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 1223.0)	(300, 48634.0)							
SRR35320085_2	(90, 1.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 118.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 10.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 1.0)	(220, 101.0)	(225, 3.0)	(230, 1.0)	(235, 3.0)	(240, 0.0)	(245, 1.0)	(250, 1.0)	(255, 2.0)	(260, 1.0)	(265, 0.0)	(270, 0.0)	(275, 1.0)	(280, 4.0)	(285, 30.0)	(290, 3.0)	(295, 321.0)	(300, 49395.0)							
SRR35320086_1	(165, 1.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 1.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 1.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 1.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 2.0)	(295, 675.0)	(300, 36625.0)																						
