Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR35320079_1	(1.0, 4.714494237598309)	(2.0, 2.265745844317117)	(3.0, 1.254874621467942)	(4.0, 0.8801551164462648)	(5.0, 0.5882224788130977)	(6.0, 0.4705779830504782)	(7.0, 0.4270059475828414)	(8.0, 0.4705779830504782)	(9.0, 0.2156815755648025)	('>10', 7.396353020631359)	('>50', 5.5946493540445745)	('>100', 38.689788893488156)	('>500', 13.02368140127666)	('>1k', 24.008191542667916)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320079_2	(1.0, 5.727544062220867)	(2.0, 2.3223894904250453)	(3.0, 1.3659833119104159)	(4.0, 0.976013594475066)	(5.0, 0.6644735408814623)	(6.0, 0.5882224788130977)	(7.0, 0.5185072220648788)	(8.0, 0.45314916886342343)	(9.0, 0.37254090324829525)	('>10', 10.9910459467114)	('>50', 7.437746454325614)	('>100', 26.864338467571514)	('>500', 37.114659811333084)	('>1k', 4.603385547155836)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320080_1	(1.0, 5.130453012140039)	(2.0, 2.2793543099998095)	(3.0, 1.3150121019229668)	(4.0, 0.7470793390634827)	(5.0, 0.6098606849497817)	(6.0, 0.36591641096986904)	(7.0, 0.4802652893979531)	(8.0, 0.28968382535114634)	(9.0, 0.3258943035200396)	('>10', 5.481122905986164)	('>50', 5.65264622362829)	('>100', 24.16954127041604)	('>500', 23.607325951477957)	('>1k', 29.54584437117646)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320080_2	(1.0, 5.936612605058032)	(2.0, 2.035410036019897)	(3.0, 1.2464027748661166)	(4.0, 0.83855844180595)	(5.0, 0.6670351241638238)	(6.0, 0.7661374854681634)	(7.0, 0.4135617769815708)	(8.0, 0.4421489965885918)	(9.0, 0.3258943035200396)	('>10', 7.232566560576319)	('>50', 10.983209773017476)	('>100', 18.79323816965562)	('>500', 34.71631949076633)	('>1k', 15.602904461512074)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320081_1	(1.0, 4.347448047995826)	(2.0, 2.0346056864620468)	(3.0, 1.2694548300147812)	(4.0, 0.6028461293220879)	(5.0, 0.5072022722661798)	(6.0, 0.3477958438396661)	(7.0, 0.2637451815784135)	(8.0, 0.32460945425035503)	(9.0, 0.20867750630379966)	('>10', 5.637190968901255)	('>50', 3.8083644900443443)	('>100', 19.305567631800134)	('>500', 34.54192389067617)	('>1k', 26.80056806654494)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320081_2	(1.0, 4.967683969509898)	(2.0, 2.0635886734486855)	(3.0, 1.2259803495348232)	(4.0, 0.9622351679564095)	(5.0, 0.6666087006926934)	(6.0, 0.6434223111033823)	(7.0, 0.6695069993913573)	(8.0, 0.6955916876793322)	(9.0, 0.5738631423354491)	('>10', 8.077558473176245)	('>50', 0.6202359215140713)	('>100', 30.01188302466452)	('>500', 45.738051763614756)	('>1k', 3.0837898153783727)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320082_1	(1.0, 4.448250673786554)	(2.0, 2.186342913276744)	(3.0, 1.2165940404523816)	(4.0, 0.8261756630815345)	(5.0, 0.768242613536183)	(6.0, 0.6045187778645374)	(7.0, 0.42316314450517617)	(8.0, 0.40301251857635834)	(9.0, 0.2040250875292814)	('>10', 6.863806957003601)	('>50', 4.161104254300899)	('>100', 22.289111105513715)	('>500', 11.752852572983048)	('>1k', 43.852799677589985)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320082_2	(1.0, 5.382735951235485)	(2.0, 2.277020729956424)	(3.0, 1.4584015515981965)	(4.0, 1.0176066094053047)	(5.0, 0.9823430140298733)	(6.0, 0.9218911362434196)	(7.0, 0.45842673988060756)	(8.0, 0.6246694037933553)	(9.0, 0.6800836250976046)	('>10', 11.269237550691418)	('>50', 5.906652225384751)	('>100', 30.30402256870104)	('>500', 0.0)	('>1k', 38.71690889398252)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320083_2	(1.0, 5.057593269646578)	(2.0, 2.2093800369540433)	(3.0, 1.1263120651020169)	(4.0, 0.7154931792271101)	(5.0, 0.6683178047725754)	(6.0, 0.3774029956362779)	(7.0, 0.45406297912489685)	(8.0, 0.4245783700908126)	(9.0, 0.3007430121476589)	('>10', 9.332861579588787)	('>50', 1.7101073239768843)	('>100', 20.051499783779533)	('>500', 41.61261155010418)	('>1k', 15.959036049848645)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320084_1	(1.0, 4.6689855515633365)	(2.0, 2.274290956348903)	(3.0, 1.290038987844966)	(4.0, 0.8026909257702011)	(5.0, 0.5829065056188365)	(6.0, 0.4930815686874092)	(7.0, 0.4414800091736106)	(8.0, 0.3516550722421833)	(9.0, 0.5160155951379864)	('>10', 6.5686874092194785)	('>50', 5.750707132482226)	('>100', 21.716611879825702)	('>500', 23.323904900236986)	('>1k', 31.21894350584818)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320084_2	(1.0, 5.0206406238055195)	(2.0, 2.16344316183778)	(3.0, 1.370308080421986)	(4.0, 0.9173610580230869)	(5.0, 0.7453558596437582)	(6.0, 0.6880207935173152)	(7.0, 0.45485819126978055)	(8.0, 0.29049766837397756)	(9.0, 0.5160155951379864)	('>10', 10.383380475498816)	('>50', 6.457839614708355)	('>100', 25.46632520449507)	('>500', 23.24936931427261)	('>1k', 22.27658435899396)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320085_1	(1.0, 5.130307818469109)	(2.0, 2.0841250475028503)	(3.0, 1.3680820849250956)	(4.0, 0.9600576034562073)	(5.0, 0.5400324019441166)	(6.0, 0.7800468028081685)	(7.0, 0.4620277216632998)	(8.0, 0.4000240014400864)	(9.0, 0.6300378022681361)	('>10', 11.052663159789587)	('>50', 8.300498029881794)	('>100', 20.45522731363882)	('>500', 11.99271956317379)	('>1k', 35.844150649038944)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320085_2	(1.0, 5.4463267796067765)	(2.0, 2.600156009360562)	(3.0, 1.5300918055083303)	(4.0, 1.0640638438306298)	(5.0, 0.6300378022681361)	(6.0, 0.8760525631537893)	(7.0, 0.6300378022681361)	(8.0, 0.5440326419585175)	(9.0, 0.39602376142568557)	('>10', 14.670880252815168)	('>50', 8.308498509910594)	('>100', 20.143208592515553)	('>500', 19.11514690881453)	('>1k', 24.045442726563593)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320086_1	(1.0, 4.444325309601672)	(2.0, 2.219482120838471)	(3.0, 1.262531496274058)	(4.0, 0.8256044604085133)	(5.0, 0.6299254811558462)	(6.0, 0.4985793169999464)	(7.0, 0.2626923283117997)	(8.0, 0.27877553208599154)	(9.0, 0.28949766793545273)	('>10', 6.494933790811129)	('>50', 4.803516860558623)	('>100', 16.069801104379994)	('>500', 13.115852677853429)	('>1k', 48.804481852785074)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320086_2	(1.0, 5.406637002090816)	(2.0, 2.139066101967512)	(3.0, 1.4876963491127433)	(4.0, 0.8470487321074358)	(5.0, 0.5227041226612341)	(6.0, 0.7719937811612073)	(7.0, 0.4690934434139281)	(8.0, 0.5789953358709055)	(9.0, 0.31362247359674045)	('>10', 11.268964777783735)	('>50', 6.795153594596043)	('>100', 19.42582962526135)	('>500', 18.163298128987293)	('>1k', 31.809896531389054)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320087_1	(1.0, 4.850701281999759)	(2.0, 2.3911907728167825)	(3.0, 1.2960655869469115)	(4.0, 0.9082506128682232)	(5.0, 0.7133384238234939)	(6.0, 0.49431338664951974)	(7.0, 0.3375798738094281)	(8.0, 0.6108588192742033)	(9.0, 0.37977735803560664)	('>10', 8.789133143109753)	('>50', 7.205722782622674)	('>100', 28.804806494393766)	('>500', 20.327130972953423)	('>1k', 22.891130490696458)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320087_2	(1.0, 4.685930153116585)	(2.0, 2.146043483502793)	(3.0, 1.253868102720733)	(4.0, 0.8198368363943255)	(5.0, 0.7133384238234939)	(6.0, 0.5787083551018768)	(7.0, 0.7032914037696419)	(8.0, 0.5304826588433871)	(9.0, 0.5606237190049431)	('>10', 10.645822449061608)	('>50', 8.22047180806173)	('>100', 43.65229272997629)	('>500', 25.489289876622596)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320088_1	(1.0, 5.3647964153516465)	(2.0, 2.610559127216053)	(3.0, 1.461133839859731)	(4.0, 0.9156438729787648)	(5.0, 0.7183908045977011)	(6.0, 0.5990648743424898)	(7.0, 0.5795830898110267)	(8.0, 0.3896356906292617)	(9.0, 0.5260081823495032)	('>10', 8.289499318137542)	('>50', 7.86577050457822)	('>100', 28.153613871030586)	('>500', 21.919442820962402)	('>1k', 20.606857588155076)	('>5k', 0.0)	('>10k+', 0.0)
